"nGene"	"nUMI"	"orig.ident"	"Patient"	"majorCluster"	"sampleType"	"percent.mito"	"res.1"
"TTS108-0205"	3929	240863	"TTS108-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS109-0205"	5090	290556	"TTS109-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS113-0205"	4434	108039	"TTS113-0205"	"P0205"	"unknown"	"TTR"	0	"1"
"TTS115-0205"	3354	575823	"TTS115-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS116-0205"	3253	491827	"TTS116-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS117-0205"	3659	240410	"TTS117-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS118-0205"	2857	388117	"TTS118-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS120-0205"	3381	122230	"TTS120-0205"	"P0205"	"unknown"	"TTR"	0	"1"
"TTS121-0205"	3343	264335	"TTS121-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS122-0205"	5329	403117	"TTS122-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS67-0205"	3388	153098	"TTS67-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS68-0205"	3779	724307	"TTS68-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS69-0205"	3093	283358	"TTS69-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS70-0205"	4869	452876	"TTS70-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS71-0205"	3854	449921	"TTS71-0205"	"P0205"	"unknown"	"TTR"	0	"1"
"TTS72-0205"	3422	196750	"TTS72-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS73-0205"	4989	628626	"TTS73-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS74-0205"	4902	394222	"TTS74-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS75-0205"	5839	583031	"TTS75-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS77-0205"	3845	209098	"TTS77-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS79-0205"	7201	1084290	"TTS79-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS80-0205"	3181	73854	"TTS80-0205"	"P0205"	"unknown"	"TTR"	0	"1"
"TTS82-0205"	4912	133418	"TTS82-0205"	"P0205"	"unknown"	"TTR"	0	"1"
"TTS83-0205"	3141	439566	"TTS83-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS84-0205"	3768	477905	"TTS84-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS86-0205"	3696	256788	"TTS86-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS87-0205"	5845	487913	"TTS87-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS88-0205"	4466	410178	"TTS88-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS89-0205"	5972	600700	"TTS89-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS90-0205"	3584	214276	"TTS90-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS91-0205"	3678	437225	"TTS91-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS92-0205"	6219	510334	"TTS92-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS93-0205"	4991	119660	"TTS93-0205"	"P0205"	"unknown"	"TTR"	0	"1"
"TTS94-0205"	3754	220173	"TTS94-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS95-0205"	4409	288100	"TTS95-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS98-0205"	3841	220014	"TTS98-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS99-0205"	4374	533044	"TTS99-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS123-0205"	3149	137542	"TTS123-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS124-0205"	4405	870130	"TTS124-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS125-0205"	5725	432016	"TTS125-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS126-0205"	3722	467198	"TTS126-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS128-0205"	4739	354729	"TTS128-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS130-0205"	5299	160041	"TTS130-0205"	"P0205"	"C09_CD4-GZMA"	"TTR"	0	"1"
"TTS132-0205"	4103	288479	"TTS132-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS133-0205"	3511	136429	"TTS133-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS135-0205"	4329	417586	"TTS135-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS136-0205"	1618	7100	"TTS136-0205"	"P0205"	"unknown"	"TTR"	0	"1"
"TTS137-0205"	5506	253008	"TTS137-0205"	"P0205"	"C09_CD4-GZMA"	"TTR"	0	"1"
"TTS138-0205"	4669	310412	"TTS138-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS140-0205"	2733	217178	"TTS140-0205"	"P0205"	"unknown"	"TTR"	0	"1"
"TTS141-0205"	5356	527746	"TTS141-0205"	"P0205"	"C10_CD4-CXCL13"	"TTR"	0	"1"
"TTS142-0205"	3801	191797	"TTS142-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS143-0205"	5930	357893	"TTS143-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS144-0205"	2500	32011	"TTS144-0205"	"P0205"	"unknown"	"TTR"	0	"1"
"TTS232-0205"	3731	289863	"TTS232-0205"	"P0205"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR100-0322"	3228	553186	"TTR100-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR10-0322"	3345	852694	"TTR10-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR101-0322"	2810	507599	"TTR101-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR103-0322"	2375	661283	"TTR103-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR104-0322"	4074	780797	"TTR104-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR105-0322"	3432	839555	"TTR105-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR106-0322"	3945	695187	"TTR106-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR107-0322"	3657	708543	"TTR107-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR108-0322"	3794	648506	"TTR108-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR109-0322"	2958	763995	"TTR109-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR110-0322"	3674	877187	"TTR110-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR111-0322"	3097	814725	"TTR111-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR112-0322"	1633	672995	"TTR112-0322"	"P0322"	"unknown"	"TTR"	0	"1"
"TTR12-0322"	3904	626108	"TTR12-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR14-0322"	3451	813428	"TTR14-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR15-0322"	3103	669031	"TTR15-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
