"nGene"	"nUMI"	"orig.ident"	"Patient"	"majorCluster"	"sampleType"	"percent.mito"	"res.1"
"TTR169-0322"	3441	729336	"TTR169-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR170-0322"	3868	774642	"TTR170-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR171-0322"	3216	703898	"TTR171-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR172-0322"	2879	607694	"TTR172-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR173-0322"	4329	818339	"TTR173-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR174-0322"	3331	732605	"TTR174-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR175-0322"	3513	881287	"TTR175-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR176-0322"	3634	450583	"TTR176-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR177-0322"	3890	706707	"TTR177-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR178-0322"	3960	825886	"TTR178-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR180-0322"	3195	795849	"TTR180-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR181-0322"	3573	439333	"TTR181-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR182-0322"	3910	672571	"TTR182-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR183-0322"	3785	788977	"TTR183-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR185-0322"	3141	745778	"TTR185-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR187-0322"	3388	607780	"TTR187-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR188-0322"	3370	930032	"TTR188-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR189-0322"	3594	956525	"TTR189-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR190-0322"	3756	1000329	"TTR190-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR191-0322"	3300	707076	"TTR191-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"NTR37-0407"	3861	1476781	"NTR37-0407"	"P0407"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR4-0407"	4342	1406710	"NTR4-0407"	"P0407"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR42-0407"	3603	1089616	"NTR42-0407"	"P0407"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR46-0407"	4146	1215602	"NTR46-0407"	"P0407"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR51-0407"	2884	548196	"NTR51-0407"	"P0407"	"unknown"	"NTR"	0	"1"
"NTR54-0407"	3902	1405494	"NTR54-0407"	"P0407"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR68-0407"	3969	836630	"NTR68-0407"	"P0407"	"unknown"	"NTR"	0	"1"
"TTH107-0407"	3639	1177184	"TTH107-0407"	"P0407"	"C07_CD4-FOXP3"	"TTH"	0	"1"
"TTR101-0407"	5691	1131787	"TTR101-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR106-0407"	4318	1115800	"TTR106-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR112-0407"	4924	890459	"TTR112-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR113-0407"	4414	1439462	"TTR113-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR114-0407"	5216	1441763	"TTR114-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR128-0407"	4798	1069841	"TTR128-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR133-0407"	4751	1050341	"TTR133-0407"	"P0407"	"unknown"	"TTR"	0	"1"
"TTR135-0407"	4175	910826	"TTR135-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR140-0407"	4889	1225758	"TTR140-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR145-0407"	4970	1199417	"TTR145-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR147-0407"	4614	1215045	"TTR147-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR148-0407"	4846	1120328	"TTR148-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR154-0407"	3636	819226	"TTR154-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR155-0407"	4379	1049125	"TTR155-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR161-0407"	4449	640787	"TTR161-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR172-0407"	3889	804215	"TTR172-0407"	"P0407"	"unknown"	"TTR"	0	"1"
"TTR188-0407"	5171	217249	"TTR188-0407"	"P0407"	"unknown"	"TTR"	0	"1"
"TTR203-0407"	3646	1058550	"TTR203-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR207-0407"	3652	1730977	"TTR207-0407"	"P0407"	"C07_CD4-FOXP3"	"TTR"	0	"1"
"TTR223-0407"	3704	1250140	"TTR223-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR225-0407"	3843	1447762	"TTR225-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR228-0407"	3424	909076	"TTR228-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR233-0407"	4181	1164067	"TTR233-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR234-0407"	4129	1419149	"TTR234-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR240-0407"	3243	1324814	"TTR240-0407"	"P0407"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS2-2-0508"	3454	845590	"TTS2-2-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS2-3-0508"	2889	911023	"TTS2-3-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS2-5-0508"	3559	658885	"TTS2-5-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS2-6-0508"	3074	930160	"TTS2-6-0508"	"P0508"	"C10_CD4-CXCL13"	"TTR"	0	"1"
"TTS2-7-0508"	2998	811525	"TTS2-7-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"PTS3-49-0508"	2269	728533	"PTS3-49-0508"	"P0508"	"C07_CD4-FOXP3"	"PTR"	0	"1"
"TTS1-10-0508"	3289	1027020	"TTS1-10-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-1-0508"	4068	929554	"TTS1-1-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-11-0508"	2354	753745	"TTS1-11-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-12-0508"	3466	785962	"TTS1-12-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-14-0508"	3581	672829	"TTS1-14-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-15-0508"	2910	687719	"TTS1-15-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-16-0508"	3516	630794	"TTS1-16-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-17-0508"	5069	864835	"TTS1-17-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-20-0508"	2572	546715	"TTS1-20-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-2-0508"	3670	298070	"TTS1-2-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-22-0508"	3146	223765	"TTS1-22-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-23-0508"	3604	667266	"TTS1-23-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-24-0508"	2940	619317	"TTS1-24-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-25-0508"	3341	719251	"TTS1-25-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-26-0508"	2483	555515	"TTS1-26-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-27-0508"	3250	743238	"TTS1-27-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-28-0508"	3618	772520	"TTS1-28-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-30-0508"	3685	792797	"TTS1-30-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-3-0508"	3952	829016	"TTS1-3-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-31-0508"	2962	736285	"TTS1-31-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-32-0508"	3812	689966	"TTS1-32-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-33-0508"	3563	703292	"TTS1-33-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-35-0508"	3567	796068	"TTS1-35-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-37-0508"	3280	637373	"TTS1-37-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-38-0508"	4022	770021	"TTS1-38-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-39-0508"	3547	629956	"TTS1-39-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-40-0508"	2951	404818	"TTS1-40-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-4-0508"	3125	880623	"TTS1-4-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-41-0508"	2933	760867	"TTS1-41-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-44-0508"	3605	886172	"TTS1-44-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-45-0508"	3785	901448	"TTS1-45-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-47-0508"	4343	903403	"TTS1-47-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-48-0508"	3486	712648	"TTS1-48-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-49-0508"	4447	916733	"TTS1-49-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-50-0508"	2698	709889	"TTS1-50-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-5-0508"	3148	715448	"TTS1-5-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-51-0508"	2631	447134	"TTS1-51-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-52-0508"	3147	757060	"TTS1-52-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-53-0508"	3510	886043	"TTS1-53-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-54-0508"	4223	825169	"TTS1-54-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-55-0508"	3191	950367	"TTS1-55-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-56-0508"	3777	893617	"TTS1-56-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-57-0508"	3028	647248	"TTS1-57-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-59-0508"	2808	577534	"TTS1-59-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-60-0508"	3202	574370	"TTS1-60-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-6-0508"	3203	856498	"TTS1-6-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-61-0508"	3668	541009	"TTS1-61-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-62-0508"	3235	736963	"TTS1-62-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-63-0508"	4219	846342	"TTS1-63-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-65-0508"	2705	792638	"TTS1-65-0508"	"P0508"	"unknown"	"TTR"	0	"1"
"TTS1-70-0508"	3122	763503	"TTS1-70-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-7-0508"	4415	816566	"TTS1-7-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-72-0508"	3310	808055	"TTS1-72-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-73-0508"	3266	901939	"TTS1-73-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-74-0508"	3020	876952	"TTS1-74-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-78-0508"	4220	685987	"TTS1-78-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-79-0508"	3980	571384	"TTS1-79-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-80-0508"	3289	608103	"TTS1-80-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-8-0508"	4271	627985	"TTS1-8-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-82-0508"	4215	786486	"TTS1-82-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-83-0508"	5224	773775	"TTS1-83-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-86-0508"	3555	795047	"TTS1-86-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-87-0508"	3044	798086	"TTS1-87-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-88-0508"	3068	693020	"TTS1-88-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-89-0508"	4033	752616	"TTS1-89-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-90-0508"	3113	684406	"TTS1-90-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-9-0508"	3393	1000829	"TTS1-9-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-92-0508"	5782	890053	"TTS1-92-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-93-0508"	4210	689139	"TTS1-93-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTS1-96-0508"	3943	844149	"TTS1-96-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"JTS-10-0508"	2963	984641	"JTS-10-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-1-0508"	3523	1377647	"JTS-1-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-12-0508"	3101	848872	"JTS-12-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-13-0508"	3881	738696	"JTS-13-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-14-0508"	2940	728473	"JTS-14-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-15-0508"	3704	844212	"JTS-15-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-17-0508"	2915	874181	"JTS-17-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-19-0508"	2706	800794	"JTS-19-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-20-0508"	3267	843753	"JTS-20-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-2-0508"	2393	585337	"JTS-2-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-21-0508"	4244	789152	"JTS-21-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-22-0508"	4074	979254	"JTS-22-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-24-0508"	2497	736010	"JTS-24-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-25-0508"	4211	654218	"JTS-25-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-26-0508"	2956	720346	"JTS-26-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-29-0508"	3256	986204	"JTS-29-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-30-0508"	3105	836874	"JTS-30-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-31-0508"	2777	739989	"JTS-31-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-32-0508"	3120	726877	"JTS-32-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-33-0508"	3247	1395043	"JTS-33-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-34-0508"	3068	714709	"JTS-34-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-35-0508"	3345	911918	"JTS-35-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-37-0508"	3231	1097552	"JTS-37-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-38-0508"	3103	796271	"JTS-38-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-4-0508"	3341	735951	"JTS-4-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-43-0508"	2697	768473	"JTS-43-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-44-0508"	3843	776742	"JTS-44-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-46-0508"	2977	756471	"JTS-46-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-47-0508"	2780	491325	"JTS-47-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-48-0508"	3207	1144593	"JTS-48-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-49-0508"	2885	1259080	"JTS-49-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-5-0508"	3290	819351	"JTS-5-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-53-0508"	4047	860154	"JTS-53-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-54-0508"	2914	778774	"JTS-54-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-55-0508"	2854	493130	"JTS-55-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-56-0508"	4416	572817	"JTS-56-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-57-0508"	3134	584709	"JTS-57-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-59-0508"	3281	607770	"JTS-59-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-60-0508"	3263	463355	"JTS-60-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-6-0508"	3423	655201	"JTS-6-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-62-0508"	4077	655436	"JTS-62-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-65-0508"	3058	616100	"JTS-65-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-66-0508"	3384	509589	"JTS-66-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-67-0508"	2037	525234	"JTS-67-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-69-0508"	3905	1101190	"JTS-69-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-70-0508"	2994	1053823	"JTS-70-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-7-0508"	3137	949425	"JTS-7-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-71-0508"	2571	886134	"JTS-71-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-72-0508"	3483	999282	"JTS-72-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-73-0508"	3133	934494	"JTS-73-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-74-0508"	4014	794689	"JTS-74-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-75-0508"	3070	864690	"JTS-75-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-76-0508"	3830	761194	"JTS-76-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-77-0508"	3272	700054	"JTS-77-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-8-0508"	3501	994344	"JTS-8-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-81-0508"	3873	725965	"JTS-81-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-84-0508"	3495	676918	"JTS-84-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-86-0508"	3300	784822	"JTS-86-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-90-0508"	2940	807768	"JTS-90-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-9-0508"	2791	622563	"JTS-9-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-91-0508"	2770	629582	"JTS-91-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-92-0508"	3729	802287	"JTS-92-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-93-0508"	2984	730630	"JTS-93-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-94-0508"	3475	686616	"JTS-94-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-95-0508"	2364	647792	"JTS-95-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"JTS-96-0508"	3016	873858	"JTS-96-0508"	"P0508"	"unknown"	"JTR"	0	"1"
"TTH1-18-0508"	3391	713808	"TTH1-18-0508"	"P0508"	"C08_CD4-CTLA4"	"TTH"	0	"1"
"TTH1-19-0508"	2560	436003	"TTH1-19-0508"	"P0508"	"C08_CD4-CTLA4"	"TTH"	0	"1"
"TTH1-33-0508"	2708	300065	"TTH1-33-0508"	"P0508"	"C08_CD4-CTLA4"	"TTH"	0	"1"
"TTH1-35-0508"	3371	660128	"TTH1-35-0508"	"P0508"	"C09_CD4-GZMA"	"TTH"	0	"1"
"TTH1-42-0508"	3473	1146738	"TTH1-42-0508"	"P0508"	"C08_CD4-CTLA4"	"TTH"	0	"1"
"TTH1-5-0508"	3274	586392	"TTH1-5-0508"	"P0508"	"C08_CD4-CTLA4"	"TTH"	0	"1"
"TTH1-6-0508"	3313	497784	"TTH1-6-0508"	"P0508"	"C08_CD4-CTLA4"	"TTH"	0	"1"
"TTH1-70-0508"	2459	63391	"TTH1-70-0508"	"P0508"	"unknown"	"TTH"	0	"1"
"JTH-2-0508"	2594	442637	"JTH-2-0508"	"P0508"	"unknown"	"JTH"	0	"1"
"NTH2-15-0508"	2769	706110	"NTH2-15-0508"	"P0508"	"C08_CD4-CTLA4"	"NTH"	0	"1"
"TTR105-0508"	3756	929007	"TTR105-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR106-0508"	2842	936192	"TTR106-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR107-0508"	2799	912203	"TTR107-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR110-0508"	3070	954618	"TTR110-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR111-0508"	2970	911208	"TTR111-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR112-0508"	3899	906410	"TTR112-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR113-0508"	3133	1070374	"TTR113-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR115-0508"	3905	1014728	"TTR115-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR116-0508"	3183	863424	"TTR116-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR117-0508"	3304	981349	"TTR117-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR118-0508"	3133	1017704	"TTR118-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR119-0508"	3148	910985	"TTR119-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR120-0508"	2639	788992	"TTR120-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR122-0508"	3323	1240917	"TTR122-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTH138-0508"	3863	564071	"TTH138-0508"	"P0508"	"C08_CD4-CTLA4"	"TTH"	0	"1"
"TTH156-0508"	2972	607614	"TTH156-0508"	"P0508"	"C08_CD4-CTLA4"	"TTH"	0	"1"
"TTH158-0508"	3505	747407	"TTH158-0508"	"P0508"	"C08_CD4-CTLA4"	"TTH"	0	"1"
"TTH170-0508"	3630	681534	"TTH170-0508"	"P0508"	"C08_CD4-CTLA4"	"TTH"	0	"1"
"TTH171-0508"	2855	691591	"TTH171-0508"	"P0508"	"C08_CD4-CTLA4"	"TTH"	0	"1"
"TTH173-0508"	2834	725352	"TTH173-0508"	"P0508"	"C08_CD4-CTLA4"	"TTH"	0	"1"
"TTR124-0508"	3021	820560	"TTR124-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR125-0508"	3447	911745	"TTR125-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR126-0508"	4158	957706	"TTR126-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR127-0508"	2863	935392	"TTR127-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR128-0508"	3436	738215	"TTR128-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR130-0508"	3724	1007347	"TTR130-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR131-0508"	3536	1115394	"TTR131-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR133-0508"	4054	879108	"TTR133-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR134-0508"	3571	897027	"TTR134-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR135-0508"	3533	806149	"TTR135-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR136-0508"	3146	736461	"TTR136-0508"	"P0508"	"C09_CD4-GZMA"	"TTR"	0	"1"
"TTR138-0508"	3244	685470	"TTR138-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR141-0508"	3333	911665	"TTR141-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
