""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"COX6A11"	0.00036300547655986	0.382491708964803	0.958	0.83	1	"4"	"COX6A1"
"RCC12"	0.000368356286652891	0.395448619402097	0.406	0.246	1	"4"	"RCC1"
"HNRNPK"	0.00037347273381661	0.259358662983312	0.896	0.878	1	"4"	"HNRNPK"
"BCKDK"	0.000378382306555987	0.461408881811941	0.271	0.136	1	"4"	"BCKDK"
"PSMB2"	0.000379534135240967	0.479171954580543	0.646	0.501	1	"4"	"PSMB2"
"SRP54"	0.000384457621463495	0.367160612271214	0.542	0.367	1	"4"	"SRP54"
"RXRA"	0.000390345027251064	0.741918073129151	0.146	0.057	1	"4"	"RXRA"
"DCAF13"	0.000390910022335857	0.505012218620597	0.479	0.325	1	"4"	"DCAF13"
"CHCHD11"	0.000391863527031437	0.375064070743903	0.479	0.299	1	"4"	"CHCHD1"
"MRPL27"	0.000391916963654859	0.378183709169719	0.375	0.218	1	"4"	"MRPL27"
"PAM1"	0.000393645016620166	0.322191741235353	0.542	0.368	1	"4"	"PAM"
"PPAN-P2RY11"	0.000393827098167354	0.569392681784003	0.531	0.373	1	"4"	"PPAN-P2RY11"
"IPO5"	0.000394784269228905	0.583607180047613	0.302	0.164	1	"4"	"IPO5"
"NUDT1"	0.000395878072978121	0.578101121287311	0.323	0.181	1	"4"	"NUDT1"
"SH2D3A"	0.000411037387905093	0.704114412342462	0.229	0.115	1	"4"	"SH2D3A"
"CD701"	0.000416451188697246	0.343105342515982	0.396	0.226	1	"4"	"CD70"
"NCL"	0.000418139874024116	0.419523999049576	0.844	0.789	1	"4"	"NCL"
"EFTUD2"	0.000418460988502447	0.288792482442952	0.417	0.253	1	"4"	"EFTUD2"
"PRR7"	0.000423642152774188	0.449212348155497	0.115	0.039	1	"4"	"PRR7"
"NELFE"	0.000424895827318196	0.316045064462586	0.521	0.327	1	"4"	"NELFE"
"RBKS"	0.000431337053191577	0.523754946450598	0.24	0.117	1	"4"	"RBKS"
"VEZT"	0.000431835036673662	0.474130065262597	0.469	0.306	1	"4"	"VEZT"
"EIF2B2"	0.000435500801187717	0.43586835146177	0.292	0.153	1	"4"	"EIF2B2"
"SELENOH1"	0.00043964881092394	0.549639522446143	0.5	0.345	1	"4"	"SELENOH"
"SLC25A32"	0.000442497715399385	0.35729333275806	0.406	0.244	1	"4"	"SLC25A32"
"UTP11L1"	0.000442556239309763	0.485141139174111	0.104	0.033	1	"4"	"UTP11L"
"TMPRSS6"	0.000454999916500727	0.331973374809191	0.167	0.069	1	"4"	"TMPRSS6"
