"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"names"
"HIGD2A"	0.000617224950829419	0.35121535828052	0.696	0.638	1	"HIGD2A"
"LOC100506321"	0.000618714011333317	-0.513880068584527	0.438	0.538	1	"LOC100506321"
"ITFG1"	0.000620156871033733	0.447701931275643	0.488	0.386	1	"ITFG1"
"METTL7A"	0.000621646266753906	0.403855666708782	0.328	0.221	1	"METTL7A"
"NFKBIZ"	0.000624013138563946	0.350352786133459	0.488	0.386	1	"NFKBIZ"
"KBTBD8"	0.000627582919056941	0.796815985016332	0.172	0.09	1	"KBTBD8"
"RPL23AP82"	0.000630663819914069	-0.687908521595511	0.138	0.221	1	"RPL23AP82"
"RRP7A"	0.000631338880513401	0.297222506730117	0.532	0.417	1	"RRP7A"
"TMEM136"	0.000635337509228199	2.47652825968748	0.065	0.014	1	"TMEM136"
"LINC01136"	0.000636953658119826	0.986072562737038	0.047	0.003	1	"LINC01136"
"OXNAD1"	0.000637820093033004	0.159820438620828	0.717	0.614	1	"OXNAD1"
"SRFBP1"	0.000641905083937869	0.486709555333579	0.267	0.169	1	"SRFBP1"
"PMS2P9"	0.000647939633100792	-0.485724593215515	0.047	0.107	1	"PMS2P9"
"LINC01578"	0.000649627739363465	0.490726455624875	0.488	0.386	1	"LINC01578"
"NAGK"	0.000650268651858584	0.383465382004953	0.483	0.376	1	"NAGK"
"DYX1C1-CCPG1"	0.000651552079096464	0.363298610125389	0.491	0.397	1	"DYX1C1-CCPG1"
"PROK2"	0.000651611197905756	-1.1923817347618	0.003	0.028	1	"PROK2"
"TESPA1"	0.000652111226005499	-0.58244195744511	0.386	0.497	1	"TESPA1"
"ZBTB7B"	0.000653638922103533	0.280806305967417	0.327	0.207	1	"ZBTB7B"
"INPP5K"	0.000658008160055527	-0.593528308722629	0.409	0.507	1	"INPP5K"
"SNRPD2"	0.000658993940929846	0.45852594149274	0.802	0.807	1	"SNRPD2"
"DNAI2"	0.000665649571389449	-0.841904581201413	0.003	0.028	1	"DNAI2"
"CHCHD1"	0.000666572795628629	0.447819782008905	0.389	0.29	1	"CHCHD1"
"GNPDA1"	0.000667358959931103	1.05868665854734	0.28	0.193	1	"GNPDA1"
"FHL3"	0.000667933520323084	0.45592610953609	0.198	0.103	1	"FHL3"
"MYH7B"	0.000668135136578634	0.663937104312887	0.381	0.266	1	"MYH7B"
"MANF"	0.00066838949351939	0.497429446169704	0.219	0.124	1	"MANF"
"TPMT"	0.000669718045002332	0.423727628124265	0.35	0.248	1	"TPMT"
"DUS2"	0.000672050047008922	-0.691730128991241	0.153	0.245	1	"DUS2"
"DDX27"	0.000672313139984448	0.209612305129353	0.568	0.445	1	"DDX27"
"DIP2C"	0.000672864457600842	-1.29185710383495	0.036	0.09	1	"DIP2C"
"SH3GL1"	0.000673199245419386	-0.763204914708134	0.105	0.186	1	"SH3GL1"
"CEP68"	0.000681461115179965	-0.610146347514169	0.191	0.3	1	"CEP68"
"HIST1H3A"	0.00069058474989606	0.776213447970438	0.084	0.024	1	"HIST1H3A"
"TK2"	0.000692743072410105	1.0090100928927	0.248	0.159	1	"TK2"
"RPS18P9"	0.000696468064919006	0.618850189346251	0.422	0.29	1	"RPS18P9"
"RNF103"	0.000701656620714289	1.19770854134195	0.15	0.072	1	"RNF103"
"MIR155"	0.000702269801728178	1.05061043196515	0.187	0.103	1	"MIR155"
"LINC01281"	0.000713764786897737	0.756169792303892	0.125	0.052	1	"LINC01281"
"CCDC136"	0.000714168694874184	1.070353945464	0.094	0.031	1	"CCDC136"
"SORBS3"	0.000719836936777688	-0.933377903652923	0.032	0.083	1	"SORBS3"
"TRIM25"	0.000720027385164779	0.503095980139457	0.28	0.179	1	"TRIM25"
"IFIT2"	0.000723078602823852	-0.275142341993984	0.047	0.107	1	"IFIT2"
"RNF157-AS1"	0.000725425593784888	-1.49414859657667	0.026	0.072	1	"RNF157-AS1"
"MIR122"	0.000727223586965437	0.18485487467984	0.059	0.01	1	"MIR122"
"MIR3591"	0.000727223586965437	0.18485487467984	0.059	0.01	1	"MIR3591"
"PPP6C"	0.000728254524338819	-0.493576417907358	0.488	0.572	1	"PPP6C"
"ADA"	0.000732542780768444	-0.492253628557965	0.22	0.324	1	"ADA"
"FXN"	0.000735474041067161	-0.743362596564886	0.102	0.179	1	"FXN"
"TMEM30A"	0.000736418349591101	0.318060555842808	0.561	0.472	1	"TMEM30A"
"PF4"	0.000740027638220793	-0.192534162509745	0	0.017	1	"PF4"
"HEMGN"	0.000740027638220793	-1.9347244150706	0	0.017	1	"HEMGN"
"EIF2A"	0.000740927653005793	-0.586392916705347	0.292	0.4	1	"EIF2A"
"MTHFD1"	0.00074150894448272	0.223923020985333	0.464	0.348	1	"MTHFD1"
"UBE2Z"	0.000742069190029907	0.225822193902017	0.368	0.255	1	"UBE2Z"
"PPP2R2A"	0.000743324273497033	0.514717281564774	0.398	0.279	1	"PPP2R2A"
"BAIAP2L1"	0.000747141310073868	2.0199313622279	0.046	0.003	1	"BAIAP2L1"
"GNG12-AS1"	0.000747141310073868	1.3364190024933	0.046	0.003	1	"GNG12-AS1"
"SLC41A3"	0.000757406859617483	0.100278961036556	0.251	0.148	1	"SLC41A3"
"KDELR2"	0.000763659819079907	0.5194562975348	0.46	0.376	1	"KDELR2"
"PBXIP1"	0.000765948013090609	0.216438828113981	0.95	0.928	1	"PBXIP1"
"HM13"	0.000766245146205542	0.287476125946494	0.675	0.579	1	"HM13"
"TECR"	0.000767801239449666	-0.350248689021224	0.637	0.714	1	"TECR"
"LRP8"	0.000768431561332219	0.620914313116854	0.141	0.066	1	"LRP8"
"DENND3"	0.00076880036715927	0.392473424229822	0.155	0.076	1	"DENND3"
"THOC3"	0.000770937114565098	-0.282869368351772	0.277	0.4	1	"THOC3"
"PTGFRN"	0.000775517344432009	1.52796024338005	0.038	0	1	"PTGFRN"
"ALDH16A1"	0.000780368872071371	-0.789111140812785	0.161	0.252	1	"ALDH16A1"
"B3GALT6"	0.000782484686356071	0.714847506212065	0.093	0.031	1	"B3GALT6"
"CD70"	0.000785670867366441	0.672526682673905	0.257	0.162	1	"CD70"
"HNRNPF"	0.000788958429307413	-0.274583616462026	0.778	0.855	1	"HNRNPF"
"CCL3"	0.000792040414316482	3.01051037834934	0.087	0.028	1	"CCL3"
"GAS6-AS1"	0.000792550009463848	-0.871596030103692	0.005	0.031	1	"GAS6-AS1"
"F2RL1"	0.000792550009463848	-1.69266302825041	0.005	0.031	1	"F2RL1"
"ZNF169"	0.000794426594549716	-1.0033429293133	0.097	0.169	1	"ZNF169"
"ETFB"	0.000795918829988149	0.352884558300186	0.412	0.303	1	"ETFB"
"ITGB8"	0.000799119601638576	1.10297892335134	0.065	0.014	1	"ITGB8"
"PLEKHG2"	0.000800181400045915	0.468241592997438	0.391	0.297	1	"PLEKHG2"
"CXorf40A"	0.000803831052862458	0.179921178454262	0.185	0.097	1	"CXorf40A"
"CFAP36"	0.000804544938361264	-0.561774878223447	0.112	0.193	1	"CFAP36"
"MYLPF"	0.000808272763157852	0.530585585282472	0.046	0.003	1	"MYLPF"
"GOLGA2"	0.000813617490531099	0.815431282653538	0.242	0.148	1	"GOLGA2"
"ATP6V1F"	0.000813834397047938	0.484068628559305	0.609	0.538	1	"ATP6V1F"
"PP7080"	0.000819693577211983	-0.812398765457132	0.091	0.166	1	"PP7080"
"EML2-AS1"	0.000821406430911049	0.121339461328077	0.12	0.048	1	"EML2-AS1"
"SFT2D2"	0.00082206715222745	0.440729278691227	0.438	0.338	1	"SFT2D2"
"DNM1L"	0.000823351127806817	0.383018096397499	0.43	0.324	1	"DNM1L"
"PCAT1"	0.000831702711528501	-1.06840609016405	0.006	0.034	1	"PCAT1"
"NEDD8-MDP1"	0.000834350502538252	0.283589699381339	0.84	0.81	1	"NEDD8-MDP1"
"RPL37A"	0.000834886065655851	0.268011390925639	0.976	0.993	1	"RPL37A"
"FLOT2"	0.000836865939331435	-0.473707262056043	0.562	0.645	1	"FLOT2"
"YWHAEP1"	0.000836984773208387	0.163925140211791	0.255	0.159	1	"YWHAEP1"
"CLUAP1"	0.000837275188800032	-0.792864111576039	0.214	0.31	1	"CLUAP1"
"ZNHIT1"	0.000841457726320924	0.381158160394339	0.581	0.472	1	"ZNHIT1"
"STX6"	0.000842976288475547	0.0825115076474009	0.239	0.141	1	"STX6"
"HNRNPA3P1"	0.000843486884181319	0.117642264507909	0.076	0.021	1	"HNRNPA3P1"
"CYB5A"	0.000848427390294405	0.562288551949317	0.205	0.117	1	"CYB5A"
"LINC00324"	0.000849893036402429	-0.25538752130677	0.17	0.269	1	"LINC00324"
"DAD1"	0.0008547212767371	0.35259752711609	0.774	0.755	1	"DAD1"
"ACOT9"	0.000857593539539905	0.607342544610937	0.433	0.355	1	"ACOT9"
"LOC389765"	0.000859156876941169	-1.23031312246025	0.018	0.059	1	"LOC389765"
"OAT"	0.00086490935865394	-0.71571291654828	0.172	0.262	1	"OAT"
"MIR1204"	0.000865732138641221	0.229184720101172	0.286	0.172	1	"MIR1204"
"KLHL18"	0.000869042359425451	0.338181841546891	0.202	0.11	1	"KLHL18"
"RPL37"	0.000869632405889451	0.156472416941089	0.994	1	1	"RPL37"
"ARL4C"	0.000870411525378399	-0.327075865737688	0.693	0.783	1	"ARL4C"
"EMC10"	0.000875847436898439	0.0958089606056409	0.313	0.2	1	"EMC10"
"C3"	0.000875990731422064	1.97884479699068	0.052	0.007	1	"C3"
"CHCHD2"	0.000877467392970768	0.199763317442753	0.889	0.883	1	"CHCHD2"
"ZNF19"	0.000877998569846593	-0.844912939199186	0.018	0.059	1	"ZNF19"
"MESDC2"	0.000880569664213099	0.400422260724132	0.538	0.462	1	"MESDC2"
"SSBP2"	0.000884573629729277	-1.02879236388915	0.106	0.183	1	"SSBP2"
"XRCC6P5"	0.000884657223938277	0.310792234969324	0.093	0.031	1	"XRCC6P5"
"PTBP1"	0.000891447643441228	0.202245024627415	0.711	0.621	1	"PTBP1"
"NNT"	0.000895239027988725	-0.579954122299768	0.424	0.528	1	"NNT"
"ZNF550"	0.000897189191452993	-0.789390050098396	0.09	0.166	1	"ZNF550"
"CTSL"	0.000900468171659191	3.5712404350138	0.108	0.045	1	"CTSL"
"CCDC107"	0.000904209405093805	0.276368071176873	0.573	0.459	1	"CCDC107"
"NEDD8"	0.000905117207888261	0.386667434856153	0.682	0.634	1	"NEDD8"
"HIST1H2BF"	0.000905780124161523	1.0659560391719	0.052	0.007	1	"HIST1H2BF"
"YWHAE"	0.000906382293791928	0.242308597052637	0.81	0.741	1	"YWHAE"
"MAP3K3"	0.000907249067613674	-0.283787275354666	0.216	0.321	1	"MAP3K3"
"TMEM80"	0.000908722403226881	-0.553631314135873	0.152	0.241	1	"TMEM80"
"FAIM2"	0.000916639275684215	1.47260974973277	0.064	0.014	1	"FAIM2"
"GPLD1"	0.000916836424785222	-1.07139545356467	0.018	0.059	1	"GPLD1"
"AGBL3"	0.000918909042110762	-1.35836342227935	0.033	0.083	1	"AGBL3"
"PPM1B"	0.000921870013032672	0.308965686720766	0.492	0.383	1	"PPM1B"
"LPIN1"	0.000922532923127645	0.320670814506587	0.581	0.493	1	"LPIN1"
"BAZ1B"	0.000927075868185456	0.134448963461141	0.451	0.334	1	"BAZ1B"
"NME1"	0.000929060234957962	0.678875691452243	0.287	0.19	1	"NME1"
"IMPAD1"	0.000932102004960128	0.770465204070336	0.149	0.072	1	"IMPAD1"
"TLE2"	0.000937255543266659	1.47185971149616	0.064	0.014	1	"TLE2"
"STARD7"	0.000939185359647083	0.246848341248774	0.652	0.534	1	"STARD7"
"PPP1R15B"	0.000940120003046997	0.289500888636105	0.36	0.252	1	"PPP1R15B"
"ZDHHC14"	0.000941055646290846	1.54713450048483	0.058	0.01	1	"ZDHHC14"
"TMEM109"	0.000954200022459395	0.415442880351171	0.498	0.403	1	"TMEM109"
"BMF"	0.000958810547091987	1.41993063740305	0.074	0.021	1	"BMF"
"RFC1"	0.000960677518206806	0.311436690212727	0.521	0.452	1	"RFC1"
"EIF4B"	0.00096378249144223	-0.341856937757861	0.711	0.769	1	"EIF4B"
"SRRM1"	0.00096943541437688	0.11982720582663	0.845	0.766	1	"SRRM1"
"MGAT5"	0.000976221847090756	-0.382839944985522	0.1	0.179	1	"MGAT5"
"RUNX1"	0.000976867626104125	0.328552026739773	0.54	0.431	1	"RUNX1"
"NDUFA10"	0.000979107256136765	0.355475807252971	0.517	0.424	1	"NDUFA10"
"GSPT2"	0.000980502725127941	0.648043365039888	0.204	0.114	1	"GSPT2"
"PGM2L1"	0.000980738398182046	-0.396606410808297	0.193	0.29	1	"PGM2L1"
"RNF207"	0.000985916096464273	0.815157663179125	0.167	0.09	1	"RNF207"
"TTLL5"	0.0009895603748762	0.653820184233406	0.234	0.145	1	"TTLL5"
"PPP1R12A"	0.000991808202196294	-0.347748205639941	0.772	0.824	1	"PPP1R12A"
"ERCC1"	0.000992651482964982	0.309657093502224	0.356	0.255	1	"ERCC1"
"LOC100506071"	0.000995823907096827	2.15095310889356	0.036	0	1	"LOC100506071"
"RNU11"	0.000995823907096827	0.527990861310588	0.036	0	1	"RNU11"
"LINC00598"	0.000998205367861101	1.34788166840204	0.044	0.003	1	"LINC00598"
"PRPS1L1"	0.0010080785990749	0.229508605434354	0.132	0.062	1	"PRPS1L1"
"APOO"	0.001008480934989	0.817461058993574	0.134	0.062	1	"APOO"
"OAS2"	0.00101292699417207	-0.368912064558876	0.524	0.617	1	"OAS2"
"ADSL"	0.00101557201189039	-0.422455289405971	0.345	0.459	1	"ADSL"
"PURB"	0.00102455813863308	0.474495532282256	0.126	0.055	1	"PURB"
"KMT2B"	0.00102725427064015	0.0530401522770629	0.322	0.214	1	"KMT2B"
"CD3EAP"	0.00102767584773505	0.120503856165031	0.252	0.152	1	"CD3EAP"
"ZMYM5"	0.00102833947291035	0.260436221848762	0.447	0.348	1	"ZMYM5"
"ZNF319"	0.00103180557930477	-0.424639443500129	0.053	0.114	1	"ZNF319"
"POTEF"	0.0010347761813753	0.322474121425761	0.749	0.697	1	"POTEF"
"TNFSF9"	0.00103808237444527	0.610668195097444	0.044	0.003	1	"TNFSF9"
"C15orf57"	0.00103941113271141	0.53319513428855	0.388	0.286	1	"C15orf57"
"NAPG"	0.00104012645538499	0.531350317983245	0.363	0.269	1	"NAPG"
"FBXO10"	0.00104162291872525	0.337968750365944	0.518	0.421	1	"FBXO10"
"CERS4"	0.00104253119797653	0.540170884377451	0.204	0.117	1	"CERS4"
"LACTB"	0.00104433539964261	0.897199450508357	0.116	0.048	1	"LACTB"
"EEA1"	0.00104518950506979	-0.494301183954366	0.166	0.259	1	"EEA1"
"USP11"	0.00104631807899501	0.0580743975812583	0.397	0.269	1	"USP11"
"PRR34-AS1"	0.00104960037151414	1.39020687510024	0.134	0.066	1	"PRR34-AS1"
"CLN3"	0.00105426659654613	-0.53124869096294	0.287	0.379	1	"CLN3"
"RSRC2"	0.00106209636436766	0.161783272540964	0.72	0.624	1	"RSRC2"
"MLH1"	0.00106472344884883	0.179002574879818	0.34	0.231	1	"MLH1"
"MGC70870"	0.00106831311840883	-1.18770981943732	0.017	0.055	1	"MGC70870"
"HPSE"	0.0010770054228367	0.713033030222871	0.245	0.159	1	"HPSE"
"EMBP1"	0.00108043230468502	-0.794483571217161	0.477	0.572	1	"EMBP1"
"VCPKMT"	0.00108102800954631	0.0085421628576815	0.222	0.128	1	"VCPKMT"
"RSAD1"	0.00108113059065801	-0.657838370945631	0.201	0.293	1	"RSAD1"
"LAMP2"	0.00108228988710596	0.16801982368814	0.628	0.503	1	"LAMP2"
"TMEM159"	0.00108569494837865	0.413697028091909	0.231	0.138	1	"TMEM159"
"GAA"	0.00108751888026827	0.680356715475549	0.161	0.083	1	"GAA"
"SNX29"	0.00109164733773232	-0.491270468821921	0.202	0.3	1	"SNX29"
"SLC39A9"	0.00109820298813344	0.467853662085656	0.34	0.245	1	"SLC39A9"
"MTMR6"	0.00109873728583056	0.361133851776257	0.401	0.3	1	"MTMR6"
"GDI1"	0.00110641015107806	-0.392497216697452	0.629	0.69	1	"GDI1"
"N4BP2L2"	0.00110761856754004	-0.301139401200811	0.891	0.928	1	"N4BP2L2"
"NSMCE4A"	0.00111094925009027	-0.477633573256742	0.316	0.417	1	"NSMCE4A"
"CARF"	0.0011113747202218	-0.734968406146699	0.134	0.214	1	"CARF"
"ZNF383"	0.00111286483936669	-0.591161587149743	0.105	0.183	1	"ZNF383"
"RAPGEF1"	0.0011140749512593	0.388331147387049	0.391	0.286	1	"RAPGEF1"
"VTRNA1-3"	0.00112103339358629	0.836963646025408	0.062	0.014	1	"VTRNA1-3"
"MTFMT"	0.00112514119050487	-0.78590879714915	0.093	0.166	1	"MTFMT"
"RPL27"	0.00112743431935102	0.153906458116924	0.951	0.976	1	"RPL27"
"NOP58"	0.00115011481453164	0.193138597434887	0.792	0.703	1	"NOP58"
"KLHL28"	0.00115050744145594	0.143189859740258	0.474	0.355	1	"KLHL28"
"IL1RN"	0.00115830743217958	1.85570933379868	0.056	0.01	1	"IL1RN"
"C1orf112"	0.0011588857533857	-0.165756763127815	0.286	0.393	1	"C1orf112"
"FUT8"	0.00115890805573175	0.232552967278786	0.413	0.3	1	"FUT8"
"N4BP1"	0.00116025346652166	0.403688714118914	0.366	0.266	1	"N4BP1"
"XIST"	0.00116031161462205	-0.344663203984592	0.196	0.3	1	"XIST"
"ARHGAP1"	0.00116245564444498	-0.462806273622069	0.565	0.645	1	"ARHGAP1"
"NEK10"	0.00116769505558247	1.56086537378404	0.099	0.038	1	"NEK10"
"COX14"	0.00117512960662127	0.681183457688651	0.546	0.497	1	"COX14"
"ITGAX"	0.00117649472677828	1.28274183599979	0.056	0.01	1	"ITGAX"
"TMEM50A"	0.00117785069148081	0.214805984234565	0.821	0.738	1	"TMEM50A"
"MPV17"	0.00117849496116785	0.360211290334261	0.46	0.362	1	"MPV17"
"TRIM46"	0.00118189463027704	0.124655626202913	0.647	0.597	1	"TRIM46"
"NUDT3"	0.00118192619921675	-0.681710655104908	0.167	0.255	1	"NUDT3"
"ATP5H"	0.0011905300401805	0.236176716629098	0.713	0.659	1	"ATP5H"
"TMX1"	0.00119093571056552	0.263916241481869	0.596	0.5	1	"TMX1"
"CYB561D1"	0.00119668435200299	-1.04300665772412	0.112	0.19	1	"CYB561D1"
"ZNF362"	0.00119758044278227	0.4539033364255	0.231	0.138	1	"ZNF362"
"RPL36A-HNRNPH2"	0.00119872094045616	0.140060276841787	0.809	0.721	1	"RPL36A-HNRNPH2"
"CCT2"	0.00119985866793051	-0.347616416754304	0.415	0.531	1	"CCT2"
"SOD2"	0.00120035828212102	-0.710870955168034	0.245	0.338	1	"SOD2"
"MIR636"	0.00120181465150228	-0.192964526011402	0.622	0.697	1	"MIR636"
"WARS"	0.00120513371035809	0.476600306206061	0.477	0.376	1	"WARS"
"FAAH2"	0.00120918070219316	-0.875378218186646	0.175	0.266	1	"FAAH2"
"MX1"	0.00120947282321879	0.139351074899806	0.549	0.407	1	"MX1"
"BORCS7"	0.00121131804564102	-0.342754357961692	0.217	0.321	1	"BORCS7"
"HNRNPK"	0.00121366937128054	0.180762797921332	0.951	0.89	1	"HNRNPK"
"TAPT1-AS1"	0.00121498036400343	0.067544398151717	0.702	0.707	1	"TAPT1-AS1"
"RTFDC1"	0.00121577765913456	0.215565868052807	0.622	0.5	1	"RTFDC1"
"FBXW5"	0.00121740593868891	-0.451690197982959	0.477	0.566	1	"FBXW5"
"DNAAF2"	0.00122304131772535	0.25386549794466	0.29	0.183	1	"DNAAF2"
"TPI1P2"	0.00122322593534773	-1.21069983288977	0.129	0.059	1	"TPI1P2"
"ERLEC1"	0.00122446369959965	0.107726838175727	0.52	0.417	1	"ERLEC1"
"TAF1D"	0.00123404480995796	0.195841231850482	0.524	0.428	1	"TAF1D"
"MCC"	0.00123478471695858	0.611023230308344	0.116	0.048	1	"MCC"
"ARF3"	0.00123525370831221	0.310836496643485	0.448	0.345	1	"ARF3"
"PLXNB1"	0.0012422315440063	2.31591315452127	0.082	0.028	1	"PLXNB1"
"BOLL"	0.00124469999704142	-1.34696695556643	0.036	0.086	1	"BOLL"
"HLA-DRB5"	0.00124627628566273	-0.18197348052415	0.802	0.855	1	"HLA-DRB5"
"TOB2"	0.00124686497158003	0.231762559677963	0.464	0.338	1	"TOB2"
"SLC26A11"	0.00125184691099341	0.413127520293905	0.234	0.141	1	"SLC26A11"
"TOR4A"	0.00125839654928551	0.818115393048966	0.056	0.01	1	"TOR4A"
"FAM63B"	0.00126034930289511	0.416633852615793	0.383	0.29	1	"FAM63B"
"PTGIR"	0.00126199249904488	0.750614592730826	0.164	0.086	1	"PTGIR"
"OXCT1"	0.00126349302064654	0.275193114267178	0.401	0.297	1	"OXCT1"
"IMMT"	0.00126712413239281	0.172586745118266	0.523	0.407	1	"IMMT"
"WBP11"	0.00126940138233765	0.317940721045777	0.556	0.462	1	"WBP11"
"SEC14L1P1"	0.00127073715422639	0.597939914809353	0.14	0.066	1	"SEC14L1P1"
"ABCF1"	0.00127159106076134	0.371821644145726	0.448	0.359	1	"ABCF1"
"TIPRL"	0.0012760404293586	0.307397124392711	0.4	0.29	1	"TIPRL"
"COMMD7"	0.0012776975756251	0.22952452009992	0.538	0.434	1	"COMMD7"
"FHAD1"	0.00127894062838711	1.08954054804348	0.035	0	1	"FHAD1"
"CTDSP1"	0.00128350133604313	-0.499181929544913	0.295	0.397	1	"CTDSP1"
"SVIP"	0.00128601543237602	0.104072621069757	0.36	0.262	1	"SVIP"
"MTERF4"	0.00129123946325121	-0.530625617956415	0.312	0.417	1	"MTERF4"
"G3BP1"	0.0012922365804498	-0.32620846408851	0.647	0.738	1	"G3BP1"
"RUVBL2"	0.00129786062080579	0.464431597986479	0.274	0.176	1	"RUVBL2"
"TOP1P1"	0.0013003511915865	0.896745447909965	0.103	0.041	1	"TOP1P1"
"GLUL"	0.00130177433725119	-0.280992417267605	0.096	0.169	1	"GLUL"
"NARFL"	0.00130629487316642	-0.509530658349124	0.188	0.279	1	"NARFL"
"IFNLR1"	0.00130795124840407	0.42854588710127	0.062	0.014	1	"IFNLR1"
"DBI"	0.00130829264100144	0.453023594814256	0.69	0.669	1	"DBI"
"MLF1"	0.00130943983352242	-1.66800407396687	0.014	0.048	1	"MLF1"
"TMEM63B"	0.00130988057935613	0.600537637675956	0.09	0.031	1	"TMEM63B"
"HIVEP1"	0.00131061639647282	0.470053135620245	0.316	0.224	1	"HIVEP1"
"HEATR6"	0.00131381741638075	0.931719764128981	0.208	0.128	1	"HEATR6"
"LOC399815"	0.00131835319370864	-1.4508827164522	0.03	0.076	1	"LOC399815"
"ABR"	0.00131937613358158	0.165700235319476	0.284	0.183	1	"ABR"
"LGALS8"	0.00132063861075633	-0.538289381156396	0.514	0.603	1	"LGALS8"
"GRIP2"	0.00132625053412569	0.404392727388627	0.163	0.083	1	"GRIP2"
"HLA-L"	0.00132639505542349	0.55626578118667	0.916	0.848	1	"HLA-L"
"NUDCD2"	0.00132743184065318	-0.585294756587929	0.228	0.317	1	"NUDCD2"
"GSK3B"	0.00133168764392335	0.268578228929297	0.36	0.252	1	"GSK3B"
"NUDT5"	0.00133203056956892	0.309142264314595	0.623	0.555	1	"NUDT5"
"MICALL1"	0.00133976590091537	-1.10710171080478	0.05	0.107	1	"MICALL1"
"APEH"	0.00135750781668004	-0.458002711443736	0.467	0.552	1	"APEH"
"PRKCI"	0.00135903128737676	-0.00948110067914265	0.261	0.162	1	"PRKCI"
"ATP6V1A"	0.00135989602427243	0.315900372292222	0.394	0.3	1	"ATP6V1A"
"HIVEP2"	0.00136122918478323	-0.390843537372167	0.271	0.386	1	"HIVEP2"
"SLC20A1"	0.00136255704169134	0.504372782330015	0.448	0.383	1	"SLC20A1"
"STAM"	0.00136313030772535	0.118322861278468	0.834	0.734	1	"STAM"
"C19orf70"	0.00136381294375428	0.694210721646641	0.418	0.345	1	"C19orf70"
"MTFP1"	0.00137109237816179	0.508061603244902	0.293	0.2	1	"MTFP1"
"USP54"	0.00137593175613204	-0.677546275341244	0.097	0.169	1	"USP54"
"ARHGEF7"	0.00138580902296924	0.0853641812229897	0.392	0.279	1	"ARHGEF7"
"P3H4"	0.00138591376606509	1.32380793491592	0.067	0.017	1	"P3H4"
"CCDC144B"	0.00139337163106147	0.292376560554934	0.254	0.155	1	"CCDC144B"
"CAB39"	0.00139567808832759	0.291520632408507	0.503	0.397	1	"CAB39"
"SFI1"	0.00139586170404433	-0.715371767785665	0.476	0.552	1	"SFI1"
"CUTC"	0.00139833277827303	-0.436452737316223	0.278	0.379	1	"CUTC"
"TMEM192"	0.00139853690465252	-0.451317817632559	0.109	0.19	1	"TMEM192"
"ARL6IP5"	0.00140463702015887	0.202398693691592	0.957	0.921	1	"ARL6IP5"
"TMEM106B"	0.00141021433926191	-0.475284033052144	0.242	0.345	1	"TMEM106B"
"ATP1A4"	0.00141435117264046	1.80854051605795	0.055	0.01	1	"ATP1A4"
"PAXIP1-AS2"	0.00142946381987413	-0.854590158015371	0.084	0.152	1	"PAXIP1-AS2"
"LOC100132215"	0.00143667472946897	-0.180356963100901	0.126	0.055	1	"LOC100132215"
"PPP1CA"	0.00144072669724945	-0.216356046457816	0.884	0.872	1	"PPP1CA"
"WTH3DI"	0.00146074787639132	-0.247936694993157	0.157	0.238	1	"WTH3DI"
"FAM122B"	0.00146593747759988	-0.705895652528203	0.173	0.259	1	"FAM122B"
"LPP-AS2"	0.00146755046500944	0.478055465815121	0.128	0.059	1	"LPP-AS2"
"AP2S1"	0.001468125113489	0.363548014139108	0.485	0.383	1	"AP2S1"
"PERP"	0.00146902121097861	0.471887633581243	0.214	0.128	1	"PERP"
"HRH4"	0.00147553942492369	-1.26484600565318	0.002	0.021	1	"HRH4"
"CREG2"	0.00147553942492369	-1.42924318971495	0.002	0.021	1	"CREG2"
"IFNG"	0.00147608986258743	1.89528988902132	0.16	0.09	1	"IFNG"
"ANKRD35"	0.00147836937733828	1.27963757402404	0.061	0.014	1	"ANKRD35"
"TTLL3"	0.00148798242825935	-0.507381391389212	0.284	0.379	1	"TTLL3"
"SMAD7"	0.00148902546489539	0.730679538545587	0.108	0.045	1	"SMAD7"
"NFKBIB"	0.00149443180014434	0.424562291277197	0.233	0.141	1	"NFKBIB"
"FHL1"	0.00150191890485861	0.120205585349225	0.043	0.097	1	"FHL1"
"BTN3A3"	0.00150252407174117	-0.540778535786638	0.725	0.834	1	"BTN3A3"
"RUNDC3B"	0.0015082506673136	-1.61465664273889	0.012	0.045	1	"RUNDC3B"
"TRIM16L"	0.00150867060669185	-0.296083383471767	0.041	0.093	1	"TRIM16L"
"EDAR"	0.00151128499241132	-0.787979827809864	0.002	0.021	1	"EDAR"
"FBXO2"	0.0015118234641186	2.08936119634497	0.076	0.024	1	"FBXO2"
"PRKDC"	0.00151474286063813	0.0644058702808246	0.653	0.566	1	"PRKDC"
"RHOT1"	0.00152037505571896	0.404445058486587	0.261	0.169	1	"RHOT1"
"HECA"	0.00152139322982418	-0.701047900699988	0.359	0.466	1	"HECA"
"AUTS2"	0.00153071714018585	-0.23531919469328	0.02	0.059	1	"AUTS2"
"ATP13A3"	0.00153424478022102	0.0785125376996644	0.409	0.286	1	"ATP13A3"
"PPA2"	0.00153428822506505	0.289223188110119	0.459	0.352	1	"PPA2"
"SMIM19"	0.00154009290625128	0.3482996326102	0.445	0.341	1	"SMIM19"
"ATP10A"	0.00155138295208374	-1.22694614579631	0.035	0.083	1	"ATP10A"
"PNRC2"	0.00155211724986697	-0.576009397338013	0.272	0.359	1	"PNRC2"
"LDOC1"	0.00155958125161877	-0.724907107728239	0.058	0.117	1	"LDOC1"
